HigherGroups,APG IV Order,APG IV Family,IUCN Family
ANITA,Amborellales,Amborellaceae,AMBORELLACEAE
ANITA,Austrobaileyales,Austrobaileyaceae,
ANITA,Nymphaeales,Cabombaceae,CABOMBACEAE
ANITA,Nymphaeales,Hydatellaceae,HYDATELLACEAE
ANITA,Nymphaeales,Nymphaeaceae,NYMPHAEACEAE
ANITA,Austrobaileyales,Schisandraceae,SCHISANDRACEAE
ANITA,Austrobaileyales,Trimeniaceae,TRIMENIACEAE
Asterids,Lamiales,Acanthaceae,ACANTHACEAE
Asterids,Ericales,Actinidiaceae,ACTINIDIACEAE
Asterids,Dipsacales,Adoxaceae,
Asterids,Asterales,Alseuosmiaceae,ALSEUOSMIACEAE
Asterids,Apiales,Apiaceae,APIACEAE
Asterids,Gentianales,Apocynaceae,APOCYNACEAE
Asterids,Aquifoliales,Aquifoliaceae,AQUIFOLIACEAE
Asterids,Apiales,Araliaceae,ARALIACEAE
Asterids,Asterales,Argophyllaceae,ARGOPHYLLACEAE
Asterids,Asterales,Asteraceae,ASTERACEAE
Asterids,Ericales,Balsaminaceae,BALSAMINACEAE
Asterids,Lamiales,Bignoniaceae,BIGNONIACEAE
Asterids,Boraginales,Boraginaceae,BORAGINACEAE
Asterids,Bruniales,Bruniaceae,
Asterids,Lamiales,Byblidaceae,BYBLIDACEAE
Asterids,Lamiales,Calceolariaceae,
Asterids,Asterales,Calyceraceae,CALYCERACEAE
Asterids,Asterales,Campanulaceae,CAMPANULACEAE
Asterids,Dipsacales,Caprifoliaceae,CAPRIFOLIACEAE
Asterids,Aquifoliales,Cardiopteridaceae,CARDIOPTERIDACEAE
Asterids,Lamiales,Carlemanniaceae,
Asterids,Ericales,Clethraceae,CLETHRACEAE
Asterids,Bruniales,Columelliaceae,COLUMELLIACEAE
Asterids,Solanales,Convolvulaceae,CONVOLVULACEAE
Asterids,Cornales,Cornaceae,CORNACEAE
Asterids,Cornales,Curtisiaceae,CURTISIACEAE
Asterids,Ericales,Cyrillaceae,CYRILLACEAE
Asterids,Ericales,Diapensiaceae,
Asterids,Ericales,Ebenaceae,EBENACEAE
Asterids,Ericales,Ericaceae,ERICACEAE
Asterids,Escalloniales,Escalloniaceae,ESCALLONIACEAE
Asterids,Garryales,Eucommiaceae,EUCOMMIACEAE
Asterids,Ericales,Fouquieriaceae,FOUQUIERIACEAE
Asterids,Garryales,Garryaceae,GARRYACEAE
Asterids,Gentianales,Gelsemiaceae,GELSEMIACEAE
Asterids,Gentianales,Gentianaceae,GENTIANACEAE
Asterids,Lamiales,Gesneriaceae,GESNERIACEAE
Asterids,Asterales,Goodeniaceae,GOODENIACEAE
Asterids,Apiales,Griseliniaceae,
Asterids,Cornales,Grubbiaceae,
Asterids,Aquifoliales,Helwingiaceae,HELWINGIACEAE
Asterids,Cornales,Hydrangeaceae,HYDRANGEACEAE
Asterids,Solanales,Hydroleaceae,HYDROLEACEAE
Asterids,Cornales,Hydrostachyaceae,HYDROSTACHYACEAE
Asterids,Icacinales,Icacinaceae,ICACINACEAE
Asterids,Solanales,Kaliphoraceae,
Asterids,Lamiales,Lamiaceae,LAMIACEAE
Asterids,Ericales,Lecythidaceae,LECYTHIDACEAE
Asterids,Lamiales,Lentibulariaceae,LENTIBULARIACEAE
Asterids,Lamiales,Linderniaceae,LINDERNIACEAE
Asterids,Cornales,Loasaceae,LOASACEAE
Asterids,Gentianales,Loganiaceae,LOGANIACEAE
Asterids,Ericales,Marcgraviaceae,MARCGRAVIACEAE
Asterids,Lamiales,Martyniaceae,
Asterids,Lamiales,Mazaceae,
Asterids,Asterales,Menyanthaceae,MENYANTHACEAE
Asterids,Metteniusales,Metteniusaceae,METTENIUSACEAE
Asterids,Ericales,Mitrastemonaceae,
Asterids,Solanales,Montiniaceae,MONTINIACEAE
Asterids,Apiales,Myodocarpaceae,
Asterids,na,na,AVICENNIACEAE
Asterids,na,na,CALLITRICHACEAE
Asterids,na,na,CORDIACEAE
Asterids,na,na,GLOBULARIACEAE
Asterids,na,na,HELIOTROPIACEAE
Asterids,na,na,HIPPURIDACEAE
Asterids,na,na,MYOPORACEAE
Asterids,na,na,NAMACEAE
Asterids,na,na,VIBURNACEAE
Asterids,na,na,WELLSTEDIACEAE
