Tropical and subtropical moist broadleaf forests,Tropical and subtropical dry broadleaf forests,Tropical and subtropical coniferous forests,Temperate broadleaf and mixed forests,Temperate coniferous forests,Boreal forests/taiga,"Tropical and subtropical grasslands, savannas, and shrublands","Temperate grasslands, savannas, and shrublands",Flooded grasslands and savannas,Montane grasslands and shrublands,Tundra,"Mediterranean forests, woodlands, and shrub",Deserts and xeric shrublands,Mangrove,Lake,Rock and Ice
0,0,0,0,13889,24983,0,27082,0,0,0,0,0,0,251,0
0,0,0,0,1295,0,0,354,0,11029,0,0,51604,0,0,75
2743,0,0,0,0,0,32552,70829,6386,0,0,0,0,0,0,0
0,0,0,7302,0,0,0,70931,0,17,0,0,0,0,0,134
4772,0,0,32,0,0,32894,16850,0,33094,0,0,0,0,0,0
0,0,0,10998,2462,0,0,0,0,0,0,0,0,0,0,0
0,0,0,250,0,0,0,0,0,0,0,2596,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
0,0,0,0,943,0,0,0,1427,0,0,29259,200968,0,0,0
0,0,0,1258,5701,0,0,15737,0,3587,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0
0,0,0,6231,8171,15286,0,0,4521,0,1880,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,312,0,0,0,0,108447,0,349,9993,0,0,5428,123,0,0
0,0,0,0,0,0,0,0,0,0,326733,0,0,0,0,903478
0,0,693,0,6202,0,0,0,0,0,0,0,22601,0,0,0
0,0,0,10246,3537,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0
0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,5507,49408,0,0,0,0,88570,0,0,0,0,4089
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
16158,0,953,75,0,0,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
0,0,0,3553,4855,0,0,0,0,0,0,0,0,0,0,0
0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0
0,0,567,0,0,0,0,0,0,0,0,0,0,546,0,0
0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0
12239,0,0,0,0,0,13,0,0,0,0,0,0,1594,0,0
150,0,0,0,0,0,11531,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3316,0,0,0,0,0,0,0,0,0,0,0,0
4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,27400,0,0,0,0,0,0,0,0,0
0,0,0,20732,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18706,0,0,0,0,0,0,0,0,0,0,0,0
1661,0,283,0,0,0,0,0,0,0,0,0,0,249,0,0
34385,23814,0,0,0,0,25624,0,3234,21905,0,0,0,0,300,0
71366,0,0,0,0,0,0,0,0,435,0,0,0,2181,0,0
0,0,0,0,0,0,31180,0,4695,0,0,0,22237,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,63629,25391,0,1014,0,0,2483,0,0,0,0,1308
0,0,0,0,4603,18585,0,3668,0,1374,5206,0,0,0,1732,0
0,0,0,11026,0,0,0,52,0,0,0,21,0,0,0,0
699,0,0,0,0,0,1855,0,0,0,0,0,0,0,182,0
49021,5682,0,0,0,0,93350,0,13677,0,0,0,0,0,0,0
37029,9343,0,0,0,0,35105,0,0,0,0,0,72399,1327,0,0
46946,2193,0,0,0,0,42265,0,0,0,0,0,1155,260,0,0
